item	locus_ambiguity	postlocus_cue	sentence	sentence_original	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity	disambiguation_type
N-V_11	state	the	In many large nations, most poor state the rich deprive them of their rights.	In many large nations, most poor state the rich deprive them of their rights.	In many large nations, most poor state	In many large nations, most poor state the	In many large nations, most poor state	In many large nations, most poor state the	1	1	agreement
N-V_12	cases	the	In an old version of that movie, a detective cases the joint for secret compartments.	In an old version of that movie, a detective cases the joint for secret compartments.	In an old version of that movie, a detective cases	In an old version of that movie, a detective cases the	In an old version of that movie, a detective cases	In an old version of that movie, a detective cases the	1	1	agreement
N-V_13	watch	German	We have been told that lots of Swiss watch German investments very carefully.	We have been told that lots of Swiss watch German investments very carefully.	We have been told that lots of Swiss watch	We have been told that lots of Swiss watch German	We have been told that lots of Swiss watch	We have been told that lots of Swiss watch German	1	1	agreement_change_modifier
N-V_14	felt	very	For some reason, Sally was surprised that these clothes felt very soft to the touch.	For some reason, Sally was surprised that these clothes felt very soft to the touch.	For some reason , Sally was surprised that these clothes felt	For some reason, Sally was surprised that these clothes felt very	For some reason, Sally was surprised that these clothes felt	For some reason, Sally was surprised that these clothes felt very	1	1	agreement_change_modifier
N-V_15	flies	by	Tom remarked that each summer flies by too fast.	Tom remarked that each summer flies by too fast.	Tom remarked that each summer flies	Tom remarked that each summer flies by	Tom remarked that each summer flies	Tom remarked that each summer flies by	1	1	agreement
N-V_16	will	make	As I understand it, the officer will make sure that no money goes to the philanthropist's son.	As I understand it, the officer will make sure that no money goes to the philanthropist's son.	As I understand it, the officer will	As I understand it , the officer will make	As I understand it, the officer will	As I understand it, the officer will make	1	1	change_modifier
N-V_2_1	surfaces	when	I don't understand why it is that this wood surfaces when there is a disruption in the large holding tank.	I don't understand why it is that this wood surfaces when there is a disruption in the large holding tank.	I don't understand why it is that this wood surfaces 	I don't understand why it is that this wood surfaces when	I don't understand why it is that this wood surfaces 	I don't understand why it is that this wood surfaces when	1	1	agreement
N-V_2_2	hopes	that	Despite last year's report, this city hopes that it will survive the latest budget cuts.	Despite last year's report, this city hopes that it will survive the latest budget cuts.	Despite last year's report, this city hopes	Despite last year's report, this city hopes that	Despite last year's report, this city hopes	Despite last year's report, this city hopes that	1	1	agreement
N-V_2_3	promises	it	Every American knows that this government promises it will reduce the budget deficit.	Every American knows that this government promises it will reduce the budget deficit.	Every American knows that this government promises	Every American knows that this government promises it	Every American knows that this government promises	Every American knows that this government promises it	1	1	agreement
N-V_2_4	fines	visitors	Nobody knows if it's true that this university fines visitors who park illegally.	Nobody knows if it's true that this university fines visitors who park illegally.	Nobody knows if it's true that this university fines visitors	Nobody knows if it's true that this university fines visitors	Nobody knows if it's true that this university fines visitors	Nobody knows if it's true that this university fines visitors	1	1	agreement
N-V_2_5	fears	that	Mrs. Baker is convinced that this school fears that the community won't support it.	Mrs. Baker is convinced that this school fears that the community won't support it.	Mrs. Baker is convinced that this school fears	Mrs. Baker is convinced that this school fears that	Mrs. Baker is convinced that this school fears	Mrs. Baker is convinced that this school fears that	2	1	agreement
N-V_2_6	packages	some	We just found out that this post office packages some articles for customers.	We just found out that this post office packages some articles for customers.	We just found out that this post office packages	We just found out that this post office packages some	We just found out that this post office packages	We just found out that this post office packages some	1	1	agreement
N-V_2_7	pardons	very	Some of us weren't aware that this church pardons very few people.	Some of us weren't aware that this church pardons very few people.	Some of us weren't aware that this church pardons	Some of us weren't aware that this church pardons very	Some of us weren't aware that this church pardons	Some of us weren't aware that this church pardons very	1	1	agreement
N-V_2_8	buys	only	Nobody seems to complain about the fact that this department store buys only national brands.	Nobody seems to complain about the fact that this department store buys only national brands.	Nobody seems to complain about the fact that this department store buys	Nobody seems to complain about the fact that this department store buys only	Nobody seems to complain about the fact that this department store buys	Nobody seems to complain about the fact that this department store buys only	1	1	agreement
N-V_2_9	lies	all	It is no secret that this official lies all the time.	It is no secret that this official lies all the time.	It is no secret that this official lies	It is no secret that this official lies all	It is no secret that this official lies	It is no secret that this official lies all	1	1	agreement
N-V_2_10	plants	lots	Mrs. Jones is pleased now that she has discovered that this greenhouse plants lots of orchids.	Mrs. Jones is pleased now that she has discovered that this greenhouse plants lots of orchids.	Mrs. Jones is pleased now that she has discovered that this greenhouse plants	Mrs. Jones is pleased now that she has discovered that this greenhouse plants lots	Mrs. Jones is pleased now that she has discovered that this greenhouse plants	Mrs. Jones is pleased now that she has discovered that this greenhouse plants lots	1	1	agreement
N-V_2_11	wrecks	the	We should have realized that this tractor wrecks the lawn by the barn.	We should have realized that this tractor wrecks the lawn by the barn.	We should have realized that this tractor wrecks	We should have realized that this tractor wrecks the	We should have realized that this tractor wrecks	We should have realized that this tractor wrecks	1	1	agreement
N-V_2_12	swings	in	We could see immediately that this tree swings in the wind.	We could see immediately that this tree swings in the wind.	We could see immediately that this tree swings	We could see immediately that this tree swings in	We could see immediately that this tree swings	We could see immediately that this tree swings in	1	1	agreement
N-V_2_13	worries	most	The agency reported that this family worries most about its financial situation.	The agency reported that this family worries most about its financial situation.	The agency reported that this family worries	The agency reported that this family worries most	The agency reported that this family worries	The agency reported that this family worries most	1	1	agreement
N-V_2_14	buses	most	Some people think it's ridiculous that this county buses most of the grade school children to another county.	Some people think it's ridiculous that this county buses most of the grade school children to another county.	Some people think it's ridiculous that this county buses	Some people think it's ridiculous that this county buses most	Some people think it's ridiculous that this county buses	Some people think it's ridiculous that this county buses most	1	1	agreement
N-V_2_15	prices	everything	John quickly learned that this hardware store prices everything very high.	John quickly learned that this hardware store prices everything very high.	John quickly learned that this hardware store prices	John quickly learned that this hardware store prices everything	John quickly learned that this hardware store prices	John quickly learned that this hardware store prices everything	1	1	agreement
N-V_2_16	pleas	effectively	According to the news report, this state pleas effectively for federal subsidies.	According to the news report, this state pleas effectively for federal subsidies.	According to the news report, this state pleas	According to the news report, this state pleas effectively	According to the news report, this state pleas	According to the news report, this state pleas effectively	1	1	agreement
