item	locus_ambiguity	postlocus_cue	sentence	sentence_original	prompt_pre	prompt_post	prompt_pre_original	prompt_post_original	occurrence_postlocus_cue	occurrence_locus_ambiguity	disambiguation_type
N-V_13	watch	was	We have been told that the new watch was financed by German investments.	We have been told that the new watch was financed by German investments.	We have been told that the new watch	We have been told that the new watch was	We have been told that the new watch	We have been told that the new watch was	1	1	agreement_change_modifier
N-V_14	felt	was	For some reason, Sally was surprised that this new felt was so soft to the touch.	For some reason, Sally was surprised that this new felt was so soft to the touch.	For some reason, Sally was surprised that this new felt	For some reason, Sally was surprised that this new felt was	For some reason, Sally was surprised that this new felt	For some reason, Sally was surprised that this new felt was	2	1	agreement_change_modifier
N-V_15	flies	are	Tom remarked that those summer flies are very fast.	Tom remarked that those summer flies are very fast.	Tom remarked that those summer flies	Tom remarked that those summer flies are	Tom remarked that those summer flies	Tom remarked that those summer flies are	1	1	agreement
N-V_16	will	did	As I understand it, the latest will did not leave any money to the philanthropist's son. 	As I understand it, the latest will did not leave any money to the philanthropist's son. 	As I understand it, the latest will	As I understand it, the latest will did	As I understand it, the latest will	As I understand it, the latest will did	1	1	change_modifier
N-V_2_1	surfaces	have	I don't understand why it is that those wood surfaces have been ruined by the disruptions in the holding tanks.	I don't understand why it is that those wood surfaces have been ruined by the disruptions in the holding tanks.	I don't understand why it is that those wood surfaces	I don't understand why it is that those wood surfaces have 	I don't understand why it is that those wood surfaces	I don't understand why it is that those wood surfaces have 	1	1	agreement
N-V_2_2	hopes	were	Despite last year's report, those city hopes were dashed by the latest budget crisis.	Despite last year's report, those city hopes were dashed by the latest budget crisis.	Despite last year's report, those city hopes	Despite last year's report, those city hopes were	Despite last year's report, those city hopes	Despite last year's report, those city hopes were	1	1	agreement
N-V_2_3	promises	are	Every American knows that these government promises are not enough to reduce the budget deficit.	Every American knows that these government promises are not enough to reduce the budget deficit.	Every American knows that these government promises	Every American knows that these government promises are	Every American knows that these government promises	Every American knows that these government promises are	1	1	agreement
N-V_2_4	fines	are	Nobody knows if it's true that those university fines are mostly due to parking violations.	Nobody knows if it's true that those university fines are mostly due to parking violations.	Nobody knows if it's true that those university fines	Nobody knows if it's true that those university fines are	Nobody knows if it's true that those university fines	Nobody knows if it's true that those university fines are	1	1	agreement
N-V_2_5	fears	are	Mrs. Baker is convinced that these school fears are based on the latest opinion polls.	Mrs. Baker is convinced that these school fears are based on the latest opinion polls.	Mrs. Baker is convinced that these school fears	Mrs. Baker is convinced that these school fears are	Mrs. Baker is convinced that these school fears	Mrs. Baker is convinced that these school fears are	1	1	agreement
N-V_2_6	packages	are	We just found out that these post office packages are very rugged	We just found out that these post office packages are very rugged	We just found out that these post office packages	We just found out that these post office packages are	We just found out that these post office packages	We just found out that these post office packages are	1	1	agreement
N-V_2_7	pardons	are	Some of us weren't aware that these church pardons are difficult to obtain.	Some of us weren't aware that these church pardons are difficult to obtain.	Some of us weren't aware that these church pardons	Some of us weren't aware that these church pardons are	Some of us weren't aware that these church pardons	Some of us weren't aware that these church pardons are	1	1	agreement
N-V_2_8	buys	are	Nobody seems to complain about the fact that those department store buys are not usually very good.	Nobody seems to complain about the fact that those department store buys are not usually very good.	Nobody seems to complain about the fact that those department store buys	Nobody seems to complain about the fact that those department store buys are	Nobody seems to complain about the fact that those department store buys	Nobody seems to complain about the fact that those department store buys are	1	1	agreement
N-V_2_9	lies	are	It is no secret that these official lies are very transparent.	It is no secret that these official lies are very transparent.	It is no secret that these official lies	It is no secret that these official lies are	It is no secret that these official lies	It is no secret that these official lies are	1	1	agreement
N-V_2_10	plants	are	Mrs. Jones is pleased now that she has discovered that those greenhouse plants are mostly orchids.	Mrs. Jones is pleased now that she has discovered that those greenhouse plants are mostly orchids.	Mrs. Jones is pleased now that she has discovered that those greenhouse plants	Mrs. Jones is pleased now that she has discovered that those greenhouse plants are	Mrs. Jones is pleased now that she has discovered that those greenhouse plants	Mrs. Jones is pleased now that she has discovered that those greenhouse plants are	1	1	agreement
N-V_2_11	wrecks	are	We should have realized that these tractor wrecks are more dangerous than car wrecks.	We should have realized that these tractor wrecks are more dangerous than car wrecks.	We should have realized that these tractor wrecks 	We should have realized that these tractor wrecks are	We should have realized that these tractor wrecks 	We should have realized that these tractor wrecks are	1	1	agreement
N-V_2_12	swings	are	We could see immediately that these tree swings are fun.	We could see immediately that these tree swings are fun.	We could see immediately that these tree swings	We could see immediately that these tree swings are	We could see immediately that these tree swings	We could see immediately that these tree swings are	1	1	agreement
N-V_2_13	worries	are	The agency reported that these family worries are mostly about the financial situation.	The agency reported that these family worries are mostly about the financial situation.	The agency reported that these family worries	The agency reported that these family worries are	The agency reported that these family worries	The agency reported that these family worries are	1	1	agreement
N-V_2_14	buses	are	Some people think it's ridiculous that those county buses are filled with grade school children from another county.	Some people think it's ridiculous that those county buses are filled with grade school children from another county.	Some people think it's ridiculous that those county buses 	Some people think it's ridiculous that those county buses are	Some people think it's ridiculous that those county buses 	Some people think it's ridiculous that those county buses are	1	1	agreement
N-V_2_15	prices	are	John quickly learned that these hardware store prices are very high.	John quickly learned that these hardware store prices are very high.	John quickly learned that these hardware store prices	John quickly learned that these hardware store prices are	John quickly learned that these hardware store prices	John quickly learned that these hardware store prices are	1	1	agreement
N-V_2_16	pleas	are	According to the news report, many state pleas are for more federal subsidies.	According to the news report, many state pleas are for more federal subsidies.	According to the news report, many state pleas	According to the news report, many state pleas are	According to the news report, many state pleas	According to the news report, many state pleas are	1	1	agreement
